1测试频道,#genre#
松视1,mitv://ns2.hellotvvod.com:9906/16240d1d4ea84fa0959f83886018f241
松视2,mitv://ns2.hellotvvod.com:9906/582f6cb92c6b4d01a36fbdb8e79c511c
松视3,mitv://ns2.hellotvvod.com:9906/a5576853fb2741e4b4725be5d648329b
香蕉台,mitv://ns2.hellotvvod.com:9906/609ff09f146f412295a5c023fa5f5791
彩虹e台,mitv://ns2.hellotvvod.com:9906/359b6bf2b58f47adb0e119ecaaaa6af4
彩虹电影,mitv://ns2.hellotvvod.com:9906/e874af6954fb492694408efd40334cac
潘朵啦玩美台,mitv://ns2.hellotvvod.com:9906/2c7cee1243934dbcb123b0e120d94630
潘朵啦粉红台,mitv://ns2.hellotvvod.com:9906/88b34261274b455a9fb8bbd9d1f1bdcb
HOT,mitv://ns2.hellotvvod.com:9906/cd173b013ed340daa83e4e459edbabcd
Happy,mitv://ns2.hellotvvod.com:9906/794cf19698d9486c91a8f026e5f06aec
PLAYBOY,mitv://ns2.hellotvvod.com:9906/de7580ba571440ae8478429afb39508a
JStar极限台,mitv://ns2.hellotvvod.com:9906/26901ab1209b471d9fe6c50e145115cd
惊艳电影台,mitv://ns2.hellotvvod.com:9906/3d60204c01d0419c91327711d4a0d5ce
K,mitv://ns2.hellotvvod.com:9906/3970fa5f77e1495cadc2f369d5913d04
LOOK,mitv://ns2.hellotvvod.com:9906/1d9b83fa670f4c9bb043303f0dd4baa0
1#,https://video2.51daao.com/btt1/2021/01/20210128/GpjqOwp7/index.m3u8
2#,https://video2.51daao.com/btt1/2021/01/20210128/3wDXV6Je/index.m3u8
3#,https://video2.51daao.com/btt1/2021/02/20210224/E61AhMeH/index.m3u8
4#,https://video2.51daao.com/btt1/2021/02/20210224/ymPaAsvE/index.m3u8
5#,https://video2.51daao.com/btt1/2021/02/20210212/zWfTUXZt/index.m3u8
Q群333546855,https://video2.51daao.com/btt1/2021/02/20210207/yfA19oxU/index.m3u8
SWAG61部,https://video2.51daao.com/btt1/2020/09/20200930/DWR0uP5r/index.m3u8
天美傳媒29部,https://video2.51daao.com/btt1/2021/03/20210313/osc4h1UX/index.m3u8
